id_mark;id_lesson;id_student;mark
1;12;18;3
3;31;52;5
17;60;68;2
20;289;44;4
23;282;9;3
24;25;16;5
25;102;22;4
27;75;11;4
35;229;47;5
36;85;29;2
42;292;2;2
43;17;31;4
46;32;51;4
50;263;15;5
52;133;69;2
60;288;19;3
66;70;33;4
67;272;63;4
69;201;23;4
70;121;64;4
74;100;44;2
76;202;5;5
78;40;39;5
79;238;76;4
80;183;25;4
82;166;41;4
84;250;53;4
89;195;5;5
95;252;71;2
97;214;35;4
102;11;63;2
112;108;34;2
124;68;2;4
125;223;29;2
128;91;4;2
130;252;7;4
134;260;1;4
137;73;58;3
139;290;21;5
154;127;18;5
164;213;22;5
168;48;12;3
169;142;18;4
171;146;63;4
174;225;49;5
175;124;53;2
177;52;23;2
178;292;36;3
180;210;59;5
186;213;66;4
189;128;18;2
191;190;59;5
202;223;38;3
205;292;2;5
209;35;62;3
214;262;15;4
217;126;32;3
219;64;11;4
227;47;28;4
228;222;46;2
230;82;4;2
243;121;58;4
245;188;23;4
247;169;53;3
249;90;21;3
250;153;61;3
253;213;29;5
259;186;42;3
264;65;6;4
267;112;55;3
277;221;26;4
291;46;55;4
302;218;21;4
303;171;43;4
308;105;61;5
314;136;16;5
316;224;26;5
317;152;47;4
320;106;56;3
326;43;25;4
328;222;44;2
330;67;1;4
337;67;71;4
341;240;16;5
342;107;48;3
343;113;59;4
349;282;28;2
352;173;7;4
356;254;64;4
359;115;34;4
361;199;77;5
366;266;15;4
369;3;72;4
371;176;58;4
373;164;19;5
378;32;72;5
381;154;48;3
388;106;75;2
391;12;52;4
395;296;58;2
399;100;3;3
404;134;52;4
414;274;1;2
420;129;69;3
422;24;16;2
424;75;11;2
425;140;13;2
429;74;67;2
431;148;39;3
445;63;64;2
447;93;26;3
450;50;28;2
452;5;52;4
457;227;75;2
464;52;42;4
465;79;65;3
469;198;77;5
474;157;29;4
480;16;32;4
485;39;39;3
493;96;49;4
495;5;51;4
498;116;9;4
502;48;8;4
506;226;38;4
507;24;13;4
519;45;77;4
524;280;68;2
525;279;59;4
528;100;44;4
534;80;46;4
536;115;28;4
542;112;23;4
545;254;53;4
546;44;77;3
548;191;55;2
550;289;48;3
554;39;39;4
558;255;11;4
563;238;13;4
564;253;58;5
568;160;46;2
572;97;22;4
581;5;51;3
595;51;9;5
603;145;13;5
606;242;17;4
608;139;18;5
609;11;16;4
620;258;64;4
627;92;61;3
629;264;41;3
630;142;18;2
631;225;48;5
638;202;5;4
642;178;54;3
647;240;39;4
650;121;15;4
654;99;48;3
662;67;58;5
663;58;25;5
664;52;28;4
665;205;77;5
667;165;1;2
669;224;37;4
673;156;35;4
674;156;61;4
675;222;44;2
682;273;67;4
684;162;49;4
690;188;68;3
698;150;49;5
699;94;21;2
703;38;72;3
705;258;58;5
716;262;65;4
720;111;9;2
722;8;76;3
726;92;22;3
727;58;77;4
728;198;28;3
729;122;67;4
741;153;29;2
742;192;9;5
744;241;17;2
747;3;51;5
752;23;31;4
755;131;13;5
764;25;32;3
768;74;57;4
790;129;31;5
791;288;26;4
794;25;13;2
799;167;64;5
811;102;49;4
814;66;65;5
818;93;38;4
819;29;32;4
821;19;16;4
823;42;73;2
825;260;6;2
840;142;39;5
844;226;19;4
852;242;17;4
854;72;6;3
855;140;39;3
856;167;57;2
857;224;26;4
858;268;69;4
864;175;1;4
865;159;61;3
869;156;49;3
882;29;17;4
884;103;29;4
887;75;33;2
894;242;32;3
896;156;47;4
902;32;76;4
907;144;16;4
909;181;73;5
911;28;76;4
926;12;62;4
929;58;5;3
935;258;67;4
938;254;41;4
939;83;44;3
946;64;64;3
951;49;28;4
952;252;57;2
958;250;33;3
964;292;1;3
965;66;41;4
982;213;35;5
985;48;59;2
989;190;73;4
990;86;44;4
991;130;63;4
997;21;16;4
1005;124;15;4
1012;122;33;3
1013;108;68;3
1014;42;5;2
1017;226;61;3
1018;165;41;2
1019;121;36;2
1021;291;41;4
1026;28;52;4
1027;175;71;2
1031;91;44;4
1034;113;24;4
1038;153;66;4
1041;30;63;3
1043;278;67;4
1046;64;53;3
1047;248;31;4
1048;219;4;3
1049;114;5;2
1053;20;62;4
1054;219;22;4
1061;231;39;4
1064;225;4;4
1065;289;3;2
1069;99;56;4
1073;169;58;3
1074;30;69;5
1081;104;66;2
1087;108;25;5
1088;184;12;2
1089;288;45;2
1096;32;39;5
1099;37;39;4
1102;259;41;2
1103;153;21;4
1110;65;57;3
1115;154;26;4
1120;254;1;2
1132;180;68;4
1135;265;64;3
1137;23;39;2
1145;287;22;2
1146;270;32;3
1147;29;13;3
1153;139;52;4
1156;204;12;4
1161;76;43;3
1167;232;72;3
1170;152;29;4
1175;40;51;5
1177;272;17;3
1179;155;21;5
1181;28;52;4
1182;210;77;2
1184;282;24;4
1186;263;36;2
1192;245;63;5
1194;151;75;4
1197;151;14;3
1198;107;35;3
1202;124;43;5
1207;1;52;5
1209;101;3;4
1221;33;51;4
1228;26;76;2
1235;133;52;3
1239;288;29;5
1241;226;21;4
1247;46;27;5
1249;251;1;5
1252;105;74;3
1253;291;57;3
1257;118;67;2
1259;257;1;5
1260;154;21;4
1261;10;13;2
1265;273;67;4
1267;203;8;4
1274;128;52;2
1278;37;39;2
1284;84;66;4
1293;153;46;3
1294;100;46;3
1309;83;45;2
1317;118;71;4
1323;48;25;4
1332;164;4;2
1337;85;74;3
1340;229;14;4
1342;169;71;5
1350;160;29;5
1351;258;7;4
1354;204;8;3
1355;229;29;5
1356;129;17;4
1357;117;7;4
1358;20;13;3
1363;47;24;5
1365;263;57;5
1367;125;33;2
1370;182;5;3
1374;276;64;3
1378;84;22;4
1380;193;34;4
1383;84;47;4
1387;221;44;4
1390;23;18;3
1395;153;44;4
1397;130;17;5
1398;67;64;5
1399;78;64;2
1403;248;18;4
1404;97;29;5
1410;166;71;2
1416;277;1;3
1421;74;43;4
1422;104;35;5
1425;282;25;4
1426;155;22;4
1433;43;5;3
1439;156;44;4
1440;150;48;4
1441;279;59;2
1445;123;54;3
1449;124;57;3
1454;109;68;4
1462;288;66;4
1465;211;59;5
1469;167;33;4
1472;213;61;2
1473;165;53;3
1476;86;61;3
1488;211;9;3
1499;158;38;4
1501;112;68;4
1504;273;7;4
1508;62;41;4
1509;225;19;4
1512;203;55;3
1532;49;5;5
1539;281;42;4
1541;249;6;3
1542;231;76;5
1544;245;31;4
1545;246;39;3
1548;172;33;2
1549;205;77;3
1550;162;74;4
1557;6;18;2
1559;56;23;4
1564;290;4;4
1565;76;15;2
1568;254;41;5
1574;151;66;4
1576;13;69;3
1577;62;33;2
1581;246;62;5
1584;66;67;4
1586;189;34;4
1594;43;9;2
1598;255;1;2
1607;125;2;2
1613;34;39;5
1615;90;61;2
1617;124;57;5
1620;147;16;3
1621;80;22;2
1628;202;68;2
1629;194;73;4
1632;232;16;4
1645;138;51;3
1648;38;32;2
1653;186;59;5
1660;22;16;3
1667;29;76;2
1670;28;16;3
1694;184;34;3
1696;291;1;4
1697;281;55;3
1703;175;11;5
1704;178;57;5
1707;220;22;5
1711;159;26;2
1712;59;55;2
1719;81;49;4
1726;56;77;3
1729;79;15;3
1745;271;31;4
1747;184;77;5
1748;161;74;4
1750;137;76;5
1755;5;13;4
1757;187;8;3
1761;212;9;3
1762;51;27;2
1774;116;28;5
1783;196;12;3
1785;187;34;3
1789;107;49;4
1793;279;24;5
1797;280;23;2
1798;71;57;2
1802;15;62;4
1804;234;18;5
1805;29;62;4
1808;172;33;5
1823;98;46;2
1824;253;15;4
1835;230;74;3
1838;185;9;4
1840;226;45;2
1842;188;34;3
1843;262;6;3
1854;153;3;5
1858;54;28;2
1863;72;11;4
1872;107;66;5
1873;157;29;4
1876;202;73;5
1887;250;15;5
1891;202;68;4
1906;182;55;2
1910;78;67;5
1913;115;34;4
1915;213;29;4
1918;127;51;4
1923;230;44;4
1924;231;16;4
1925;271;31;2
1934;33;17;5
1944;108;77;4
1947;1;17;4
1948;74;71;2
1949;271;13;3
1950;212;77;5
1952;170;58;4
1953;290;49;3
1958;239;31;4
1962;58;68;5
1971;147;76;2
1972;48;27;3
1976;257;64;2
1989;67;58;3
1991;136;51;3
1992;257;64;5
1993;32;76;2
1995;81;37;3
1996;209;23;4
2002;21;32;4
2003;173;58;4
2006;253;71;4
2015;234;76;4
2016;99;22;4
2017;277;58;4
2019;195;8;5
2023;96;46;4
2028;215;21;2
2037;52;34;2
2055;132;16;4
2058;44;42;5
2059;166;67;3
2065;238;51;5
2071;176;1;4
2075;51;68;5
2082;155;75;5
2083;47;8;4
2086;268;13;4
2090;142;16;3
2094;117;58;3
2099;272;76;2
2108;220;74;4
2112;253;43;2
2120;74;71;2
2123;45;8;4
2127;104;74;3
2131;121;7;5
2134;123;65;3
2136;119;36;5
2137;17;51;2
2140;19;13;2
2142;74;67;3
2146;51;24;3
2152;50;23;2
2156;184;23;3
2162;255;54;4
2163;68;6;5
2164;50;12;4
2169;78;64;4
2173;170;53;2
2178;148;16;4
2179;256;57;2
2184;195;25;4
2200;37;76;4
2201;160;56;3
2202;72;43;3
2206;47;12;3
2207;99;44;3
2212;239;69;3
2213;294;2;4
2217;77;2;4
2218;205;28;5
2219;42;77;4
2222;200;77;4
2227;178;33;2
2230;90;61;2
2231;235;13;5
2232;97;75;2
2234;186;34;2
2239;222;37;2
2240;240;16;3
2243;275;67;4
2247;24;63;4
2248;82;47;3
2250;249;65;2
2264;103;66;3
2271;230;46;4
2272;25;62;3
2273;290;29;2
2277;147;62;2
2287;144;69;4
2291;21;72;2
2302;95;35;5
2303;218;37;2
2304;67;2;5
2308;186;24;4
2309;224;22;3
2313;89;37;5
2315;15;72;4
2317;212;42;4
2321;80;56;3
2327;177;65;3
2329;226;56;5
2331;182;28;5
2335;254;64;4
2364;143;13;3
2375;178;64;2
2384;32;52;5
2389;159;61;3
2396;84;45;4
2402;139;17;2
2404;172;43;3
2413;217;26;3
2416;182;77;3
2420;119;53;2
2422;292;41;2
2429;38;18;4
2436;107;37;4
2440;265;1;2
2452;276;58;4
2453;151;74;3
2455;158;21;3
2459;177;7;4
2460;169;53;2
2461;58;68;5
2473;107;48;4
2476;89;45;2
2478;228;35;4
2481;75;57;4
2486;90;47;4
2489;255;1;3
2491;196;34;5
2499;122;43;2
2500;59;12;5
2501;175;2;3
2504;154;29;5
2511;252;7;5
2512;271;39;5
2514;5;16;3
2522;178;7;4
2523;45;24;5
2525;276;15;4
2526;240;72;2
2530;8;18;5
2547;17;63;5
2553;263;57;4
2555;82;47;2
2561;87;3;3
2564;229;3;2
2568;203;28;2
2571;238;76;4
2588;293;11;4
2589;218;61;5
2591;254;71;5
2595;202;8;2
2599;220;26;4
2601;291;65;4
2610;137;18;2
2618;290;22;4
2622;269;31;5
2627;133;69;4
2629;290;3;2
2643;282;24;4
2649;59;23;3
2656;224;38;4
2657;197;42;2
2661;140;51;2
2667;185;5;5
2669;130;72;2
2673;251;7;2
2674;99;45;3
2675;226;3;3
2685;19;13;2
2688;51;25;3
2689;48;59;4
2690;76;2;4
2699;240;63;3
2703;220;26;3
2706;277;53;5
2708;107;35;2
2710;260;41;4
2713;221;74;4
2720;164;48;3
2722;126;69;3
2726;81;47;2
2728;288;74;4
2735;158;61;5
2751;105;29;4
2754;294;64;4
2756;6;31;4
2757;138;39;4
2764;79;6;5
2765;49;9;3
2770;153;66;5
2771;114;73;2
2773;14;18;2
2778;83;35;2
2781;217;22;4
2783;213;61;5
2785;70;43;3
2786;215;29;5
2797;1;69;2
2810;90;61;5
2811;196;12;5
2816;210;59;4
2819;210;12;4
2822;162;44;4
2826;164;56;4
2828;228;29;3
2833;291;15;3
2837;225;38;2
2844;80;3;4
2862;88;75;2
2867;226;75;3
2875;86;14;4
2877;187;68;2
2881;104;46;5
2882;269;72;5
2883;255;58;4
2885;187;73;3
2890;91;21;3
2891;160;56;5
2897;250;33;4
2910;270;72;4
2915;181;59;3
2918;275;33;3
2921;18;69;4
2922;90;21;2
2931;138;76;4
2943;127;16;4
2945;166;1;3
2947;180;59;4
2951;217;49;4
2952;98;46;3
2957;251;54;4
2958;119;58;4
2959;18;63;4
2960;19;32;4
2961;154;47;4
2965;104;26;2
2966;229;61;3
2973;51;8;4
2977;225;74;4
2983;269;76;2
2996;236;51;4
2999;266;1;2
3001;238;16;5
3002;175;11;2
3003;62;71;5
3005;76;71;4
3007;211;28;4
3008;232;39;2
3012;106;66;5
3020;98;44;4
3025;156;35;2
3027;18;16;2
3031;168;54;5
3033;164;3;5
3037;88;46;2
3038;236;63;5
3039;189;34;3
3046;169;67;4
3048;72;54;5
3050;103;44;4
3051;188;42;2
3054;193;5;5
3055;111;8;4
3060;215;19;2
3065;240;13;3
3075;67;43;2
3081;273;64;3
3083;158;19;4
3086;72;15;4
3088;189;28;3
3089;63;6;4
3095;119;65;5
3098;102;22;2
3101;61;71;4
3105;110;12;2
3107;282;24;5
3111;264;64;4
3118;189;25;3
3119;60;9;2
3122;233;39;4
3126;122;64;4
3128;43;9;3
3130;64;65;5
3138;169;41;3
3140;231;52;3
3141;190;24;4
3157;146;72;5
3165;257;57;4
3168;38;32;2
3170;175;33;4
3178;178;15;3
3182;44;73;3
3183;127;17;3
3188;230;37;5
3192;25;39;4
3199;267;18;2
3207;177;64;4
3208;237;76;3
3214;275;67;5
3218;164;4;4
3225;285;66;4
3229;15;32;5
3230;160;29;4
3235;161;26;2
3236;9;76;5
3251;227;35;2
3252;188;28;5
3257;270;63;4
3258;205;23;2
3266;173;11;3
3268;82;38;4
3273;85;47;3
3276;267;69;2
3285;114;77;5
3286;213;38;3
3290;272;51;4
3292;184;28;3
3293;170;7;4
3294;224;48;4
3301;162;3;3
3310;101;3;4
3315;190;12;4
3319;283;59;5
3320;36;17;5
3326;187;73;5
3330;123;11;2
3333;15;51;4
3334;177;71;4
3336;135;76;5
3340;248;62;2
3341;265;1;4
3344;11;17;2
3348;289;37;5
3364;196;12;4
3370;161;48;3
3372;159;4;4
3377;93;47;5
3380;140;76;5
3384;83;37;3
3388;148;51;2
3389;229;4;2
3390;192;9;4
3398;283;23;4
3407;202;12;5
3411;41;31;3
3412;19;76;2
3417;270;18;5
3419;153;35;4
3422;215;3;3
3435;69;53;5
3445;195;8;5
3452;181;25;2
3454;288;38;4
3461;196;55;4
3466;238;39;3
3468;194;59;3
3470;13;72;4
3472;16;13;2
3474;92;29;4
3475;88;74;3
3477;28;13;3
3479;150;45;3
3482;101;14;4
3486;212;34;4
3493;83;37;5
3494;179;53;4
3495;284;28;3
3497;166;6;4
3506;98;21;2
3510;266;43;2
3511;74;54;5
3514;85;21;4
3519;194;34;5
3533;249;36;4
3537;176;6;3
3540;158;61;3
3543;276;65;5
3544;150;44;4
3547;180;34;3
3561;208;23;3
3566;165;67;4
3569;83;47;4
3570;156;22;5
3577;31;52;4
3578;58;9;4
3583;246;62;3
3585;290;4;4
3589;186;9;2
3596;225;14;4
3601;127;13;3
3602;200;23;4
3604;221;19;3
3615;234;39;2
3616;252;58;4
3622;168;6;5
3627;131;62;5
3630;90;22;4
3633;228;22;4
3641;131;39;5
3647;268;32;4
3649;224;49;4
3651;76;41;2
3652;269;63;4
3653;159;66;3
3669;209;28;4
3677;1;13;4
3680;223;38;2
3686;62;58;2
3688;215;45;4
3689;61;11;5
3690;148;32;3
3699;90;3;4
3702;171;57;3
3703;101;46;2
3706;266;67;5
3711;72;11;4
3714;139;17;2
3716;193;68;3
3722;20;17;2
3729;218;3;4
3730;220;66;5
3733;269;52;5
3734;220;74;5
3742;176;6;3
3747;282;12;4
3748;226;3;5
3754;36;32;4
3758;101;66;5
3764;46;68;3
3765;227;29;4
3766;241;69;4
3767;27;69;2
3768;102;22;5
3774;290;74;2
3776;63;53;3
3785;123;6;5
3792;151;45;3
3798;76;54;5
3801;153;19;4
3808;179;33;4
3810;111;77;5
3811;279;28;4
3813;161;49;4
3817;258;53;4
3820;61;71;2
3821;104;44;3
3823;151;21;2
3824;119;36;5
3825;244;52;2
3826;239;51;2
3832;136;69;4
3837;207;27;4
3846;27;51;2
3847;70;41;4
3850;111;12;2
3851;220;21;2
3858;70;57;3
3859;205;5;4
3862;285;46;4
3863;139;62;3
3865;170;64;2
3867;97;56;5
3870;126;17;4
3872;130;63;2
3874;291;36;4
3876;270;13;2
3888;253;57;5
3894;151;14;3
3899;131;39;3
3901;175;7;4
3902;186;73;4
3903;110;5;4
3905;155;35;2
3912;252;53;3
3916;97;45;3
3925;287;61;2
3929;28;32;2
3941;286;19;3
3945;191;55;4
3951;288;66;5
3952;234;63;3
3953;95;3;4
3960;234;52;4
3968;108;5;2
3969;75;67;4
3974;144;17;2
3978;131;72;4
4000;93;22;4
4002;103;75;3
4012;238;13;4
4015;183;5;4
4016;231;16;4
4018;272;16;5
4019;144;18;3
4030;156;22;5
4041;82;37;4
4048;282;23;5
4064;80;3;3
4066;28;39;4
4071;229;37;4
4072;296;57;4
4073;279;59;3
4085;234;17;4
4086;255;57;3
4093;4;39;3
4096;18;72;4
4098;206;73;3
4102;163;3;5
4109;15;31;4
4112;9;63;4
4114;143;39;4
4116;239;31;2
4118;42;28;5
4128;69;64;5
4132;82;47;5
4135;14;16;4
4137;100;47;4
4140;123;53;4
4143;143;63;5
4144;125;2;3
4152;81;66;2
4153;246;18;4
4156;270;39;4
4157;126;32;5
4158;253;43;3
4159;119;67;3
4163;99;3;4
4166;51;77;3
4174;175;67;4
4175;53;42;4
4176;184;24;3
4177;163;37;2
4180;104;22;2
4185;62;15;4
4187;285;49;4
4194;72;15;3
4200;72;64;4
4201;90;49;2
4203;50;77;5
4212;169;6;3
4213;92;47;4
4217;63;7;3
4218;224;74;5
4219;55;77;5
4220;123;36;4
4222;274;71;3
4223;81;49;5
4224;8;52;5
4229;103;49;3
4230;233;31;5
4241;133;51;4
4243;144;72;3
4249;29;32;3
4252;281;5;2
4253;154;61;5
4254;53;25;4
4255;224;74;4
4258;149;13;4
4259;39;16;2
4260;11;39;3
4267;294;41;3
4268;168;54;2
4275;282;59;4
4277;33;69;2
4280;102;45;4
4283;154;56;4
4286;216;21;4
4288;254;11;2
4291;293;53;2
4298;127;72;2
4307;96;56;4
4312;175;57;4
4315;44;25;4
4318;154;3;4
4320;141;39;3
4323;205;28;2
4325;80;74;5
4326;95;49;5
4327;49;12;4
4330;164;47;5
4332;125;57;5
4345;30;32;3
4346;178;36;5
4350;293;11;4
4353;175;6;3
4356;95;3;4
4357;76;15;2
4358;4;32;4
4378;240;62;4
4380;148;31;2
4387;189;34;3
4393;139;63;5
4404;122;15;2
4407;278;1;4
4414;86;66;5
4418;43;9;5
4419;175;7;3
4423;72;65;5
4435;289;4;4
4444;229;22;4
4454;191;55;4
4456;224;48;4
4458;227;26;4
4459;184;28;2
4466;212;12;4
4467;83;35;4
4469;53;59;3
4471;43;55;5
4476;295;1;5
4478;26;76;2
4481;217;45;4
4484;47;59;5
4486;294;36;5
4487;232;76;5
4491;225;4;2
4498;81;56;4
4501;106;37;4
4503;176;1;3
4505;255;43;5
4506;6;69;4
4519;133;63;2
4522;156;38;2
4538;79;64;5
4540;93;46;5
4541;188;27;5
4543;179;7;3
4571;292;36;2
4578;191;73;2
4584;279;27;4
4588;140;32;4
4594;126;63;4
4596;224;35;4
4598;20;17;4
4600;189;25;4
4603;22;52;5
4606;153;19;4
4612;33;18;5
4614;21;31;3
4620;270;76;5
4630;256;58;4
4636;61;1;2
4637;243;32;4
4640;68;43;3
4646;107;46;5
4651;223;22;2
4659;250;2;5
4666;20;62;4
4667;191;8;4
4672;5;52;2
4680;81;3;4
4697;222;47;2
4704;150;38;4
4705;96;37;3
4706;296;43;4
4713;114;77;3
4715;161;66;4
4719;82;21;3
4722;50;5;4
4724;263;15;5
4725;171;53;5
4727;259;2;2
4729;103;26;5
4733;72;53;3
4739;83;38;4
4746;146;63;2
4763;73;2;2
4769;183;27;4
4775;294;67;2
4778;123;2;4
4780;239;63;4
4783;220;26;4
4786;230;26;3
4791;266;58;4
4793;175;53;3
4794;192;25;4
4796;36;76;5
4805;225;38;4
4806;208;9;5
4809;52;59;5
4813;194;23;4
4816;36;63;4
4820;5;31;4
4824;280;24;5
4825;62;57;2
4834;174;57;4
4841;41;62;5
4846;46;9;4
4856;32;39;3
4862;87;44;3
4864;41;52;3
4865;64;57;4
4872;293;67;5
4876;255;53;4
4879;165;7;4
4887;107;56;4
4892;255;33;4
4897;155;44;4
4900;84;61;2
4905;261;36;4
4909;279;25;4
4911;155;74;4
4914;119;71;2
4915;106;29;5
4920;254;54;5
4922;58;24;2
4924;254;1;4
4925;62;2;5
4933;221;47;4
4942;273;43;2
4945;198;59;4
4949;178;11;4
4953;84;47;3
4958;7;51;2
4962;222;48;5
4968;266;58;3
4969;78;43;5
4985;166;65;3
4991;279;23;4
4993;197;34;5
4995;105;48;2
5000;188;77;5
5002;207;55;4
5009;107;35;5
5013;237;51;4
5016;117;41;5
5017;15;32;4
5018;6;62;5
5021;166;15;2
5023;173;41;4
5026;165;1;4
5032;284;8;2
5039;285;45;4
5045;208;23;4
5049;287;22;5
5057;98;38;2
5068;157;21;4
5072;107;75;2
5075;178;57;4
5077;120;33;4
5078;83;19;4
5084;221;56;4
5086;9;13;2
5087;102;22;4
5089;278;36;3
5094;188;27;5
5095;134;76;4
5101;164;61;4
5102;38;17;2
5104;250;58;2
5109;122;41;5
5113;61;64;4
5121;45;12;3
5130;88;35;3
5134;271;63;2
5138;7;51;3
5143;131;76;3
5147;208;59;4
5155;277;2;3
5163;6;76;4
5164;42;27;4
5166;107;38;5
5167;245;51;4
5173;273;11;4
5174;286;75;4
5179;271;18;5
5181;176;11;5
5183;187;25;2
5195;77;7;4
5199;166;64;4
5204;284;77;3
5205;290;29;3
5209;46;23;4
5214;200;25;4
5217;221;47;5
5227;260;57;4
5229;88;4;4
5233;165;53;4
5242;177;2;4
5243;226;56;5
5247;63;43;5
5250;161;21;4
5257;87;21;2
5276;79;64;4
5287;90;66;2
5290;31;31;2
5292;152;61;4
5294;4;72;4
5315;119;7;2
5317;191;9;2
5318;82;48;3
5323;254;15;4
5324;214;29;2
5326;74;36;5
5332;159;74;5
5333;39;52;5
5334;117;53;2
5338;292;2;3
5341;156;47;4
5345;106;3;4
5347;65;2;2
5348;88;74;4
5350;104;74;2
5351;239;76;4
5352;204;8;5
5353;67;53;3
5359;162;45;2
5361;207;59;3
5362;249;11;4
5363;218;45;2
5365;54;25;4
5368;230;46;4
5370;57;12;4
5371;206;12;2
5372;62;71;3
5376;117;6;4
5379;285;56;2
5386;170;41;4
5387;141;52;4
5391;63;71;5
5393;222;48;4
5396;221;44;4
5399;274;53;4
5400;29;51;2
5408;154;19;2
5411;289;37;3
5413;49;42;3
5414;149;39;4
5416;252;7;2
5417;215;47;3
5421;111;12;2
5423;159;3;4
5431;46;27;4
5437;88;14;2
5443;106;66;4
5444;161;29;2
5445;46;12;4
5449;181;27;3
5451;215;19;4
5463;144;51;3
5464;183;28;4
5468;41;32;3
5475;95;46;4
5476;75;7;4
5477;137;52;5
5478;271;18;5
5484;92;4;4
5487;217;44;4
5492;36;16;3
5494;236;51;4
5500;64;65;4
5505;277;7;4
5507;27;32;5
5512;149;63;2
5515;242;13;5
5520;57;34;4
5523;48;12;2
5525;276;1;2
5526;78;1;4
5527;194;9;2
5545;139;16;3
5549;121;64;2
5554;261;58;5
5557;252;58;4
5561;214;75;4
5564;176;54;2
5572;25;72;4
5576;9;32;5
5581;102;38;2
5582;291;65;5
5591;286;46;2
5596;125;57;2
5599;51;68;5
5603;170;57;5
5605;113;59;4
5610;16;69;3
5611;201;59;3
5615;16;51;3
5623;207;42;2
5627;103;61;3
5634;116;5;2
5641;96;26;5
5642;29;62;4
5644;158;38;5
5645;279;59;4
5649;223;37;4
5650;184;28;2
5651;161;38;3
5662;119;6;4
5672;29;39;3
5679;118;1;4
5680;225;21;4
5684;218;46;4
5689;99;61;5
5690;120;58;3
5692;160;22;5
5694;240;18;4
5701;268;51;3
5706;265;53;4
5707;176;7;2
5708;99;48;4
5712;130;69;4
5715;120;6;4
5717;51;5;4
5727;154;48;3
5731;189;34;3
5733;98;38;5
5735;29;72;5
5740;178;1;2
5741;282;8;3
5742;296;67;5
5744;25;52;4
5748;206;9;2
5749;256;58;4
5750;21;76;4
5759;207;28;4
5761;10;16;5
5764;286;4;5
5770;138;13;2
5772;220;14;5
5778;233;18;5
5779;283;25;2
5787;233;18;4
5793;69;1;3
5808;105;56;5
5810;66;7;2
5811;225;45;4
5812;118;2;3
5813;104;47;4
5818;7;72;5
5822;145;76;2
5826;65;57;5
5836;17;72;5
5838;201;23;4
5840;272;51;5
5847;287;56;2
5853;273;67;3
5856;159;37;4
5861;248;39;3
5864;171;41;5
5871;163;48;4
5873;180;25;5
5875;124;2;3
5876;266;57;2
5881;177;71;4
5882;29;39;4
5890;62;11;3
5892;202;12;2
5894;290;14;2
5895;182;23;2
5903;30;16;3
5907;37;39;3
5910;202;24;3
5916;142;17;4
5918;254;65;4
5921;148;39;2
5925;89;14;5
5936;159;44;4
5938;86;26;4
5945;67;6;5
5947;279;9;4
5959;172;41;4
5962;125;65;5
5970;23;52;4
5973;20;39;5
5995;149;72;4
5996;130;32;3
